"","score","text","Review"
"1",0,"Deepak Chaurasia, active in mud slinging, specializes in fabricating stories for TRP. #ArrestCHORasia https://t.co/YqALMMu3Mb","Surprise"
"2",0,"Never seen 'Freedom of Press' benefiting people. #ArrestCHORasia for misusing this freedom. https://t.co/IIKjehb6ZT","Surprise"
"3",0,"@kiranrajdev @CMOMaharashtra @Dev_Fadnavis No proof, no evidence and no fact. Still Chaurasia had spread multiple r… https://t.co/uU4APH1u7v","Surprise"
"4",0,"RT @jp66957: @Ss_9611 @PiyushGoyal Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their CHEAP news  #…","Surprise"
"5",0,"RT @deepak_mragwani: @CMOMaharashtra @timesofindia Sir, Deepak Chaurasia is the stigma of other news channels.  #ArrestCHORasia https://t.c…","Surprise"
"6",0,"@YssGzb @MUMGzb @vandana_7 @AshramGzb @AsaramBapuJi @narendramodi @PMOIndia FAKE STORIES,
FAKE CASES,
FAKE NEWS!

S… https://t.co/slVPWRXfDj","Surprise"
"7",0,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Good step Sir , bt u know Deepak Chaurasia is the stigma of other news channels.  #ArrestCHO…","Surprise"
"8",0,"@ShankarJio @AmitShah @BJP4India @BJP4Karnataka @BSYBJP For money will Deepak Chaurasia sell his family too?… https://t.co/C1XrjdkDZF","Surprise"
"9",0,"RT @MohiniS20131066: @NishaSi48281072 @cricketaakash Deepak Chaurasia confessed himself calling JOURNALISM as Mission-HUB of TRP! #ArrestCH…","Surprise"
"10",0,"RT @rawat_narayan: POCSO act calls for immediate arrest of the accused!Then whats DELAYING Deepak Chaurasia's arrest? #ArrestCHORasia
@nare…","Surprise"
"11",0,"@MUMGzb @AshramGzb @AsaramBapuJi @narendramodi For money Deepak Chaurasia will even defame the nation?… https://t.co/KuaCVp2bhk","Surprise"
"12",0,"RT @pramod08575705: Journalist is a technical term.
PaidMedia, presstitutes etc are coined to define Deepak Chaurasia et al. #ArrestCHORasi…","Surprise"
"13",0,"RT @YssHyderabad: @YssHeadOffice @AsaramBapuJi @yssambala @ChouriyaSubh @Eternal_Hindu @tikesh_verma @YSS_jamshedpur @HDLYoddha @shankerjos…","Surprise"
"14",0,"RT @tufani_hindu: Media MORONS like Deepak Chaurasia are playing with viewers sentiments by CURBING HINDUISM! SHAME! #ArrestCHORasia","Surprise"
"15",0,"Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished. #ArrestCHORasia https://t.co/YqALMMu3Mb","Surprise"
"16",0,"Best thing one could possibly do is to stop watching Deepak Chaurasia. #ArrestCHORasia for misleading the nation.","Surprise"
"17",0,"RT @shankerjoshi001: Why illegal son of paid news channel Deepak Chaurasia roaming free inspite of serious crimes ?
#ArrestCHORasia","Surprise"
"18",0,"RT @pramod08575705: @SriSri @Yale @susancain PAID media WORKS by adopting ATROCIOUS ways - Exposed by Deepak Chaurasia himself! #ArrestCHOR…","Surprise"
"19",0,"@swati_avhad @nsitharaman Session court stays Deepak Chaurasia's arrest as a CRIMINAL case is filed against him!… https://t.co/vq6msMkO3D","Surprise"
"20",0,"RT @ShankarJio: @AmitShah @BJP4India @BJP4Karnataka @BSYBJP Sir,
PAID media WORKS by adopting ATROCIOUS ways -Exposed by Deepak Chaurasia h…","Surprise"
