"","badbad"
"1","sore throat"
"2","miss gonna"
"3","fall asleep"
"4","fell asleep"
"5","sucks that"
"6","hurts tu"
"7","hurts head"
"8","hurts throat"
"9","ache tu"
"10","bad news"
"11","wrong whats"
"12","poor baby"
"13","stuck inside"
"14","bad ti"
"15","ache sto"
"16","hurts sto"
"17","hurt feet"
"18","sad face"
"19","infection ear"
"20","falling asleep"
"21","bad "
"22","crashing keeps"
"23","sucks it"
"24","cry wanna"
"25","poor little"
"26","sad very"
"27","tired sooo"
"28","sad kinda"
"29","sucks This"
"30","lost ve"
"31","cry gonna"
"32","hard drive"
"33","fall asleep"
"34","hate having"
"35","blah blah"
"36","falling apart"
"37","blah blah"
"38","miss everyone"
"39","fail epic"
"40","ache head"
"41","worst part"
"42","gossip girl"
"43","sad how"
"44","sad panda"
"45","hurts it"
"46","bad too"
"47","bad headache"
"48","miss gonna"
"49","sad ti"
"50","aches body"
"51","allergic reaction"
"52","fever hay"
"53","worst headache"
"54","headache "
"55","headache worst"
"56","infection sinus"
"57","hate waking"
"58","tired soo"
"59","hurt teeth"
"60","bad sooo"
"61","stuffy nose"
"62","bad pretty"
"63","bad drea"
"64","sad news"
"65","sorry I"
"66","sad sooo"
"67","bad real"
"68","hurt eyes"
"69","die gonna"
"70","burn sun"
"71","sad soo"
"72","tired soooo"
"73","bug bites"
"74","miss ya"
"75","poor guy"
"76","hurt legs"
"77","suck gonna"
"78","headache "
"79","break spring"
"80","jam traffic"
"81","crap Holy"
"82","tired super"
"83","stuck indoors"
"84","hurts neck"
"85","shit Holy"
"86","miss those"
"87","hurts body"
"88","attack heart"
"89","emergency roo"
"90","panic attack"
"91","attack panic"
"92","alarm clock"
"93","killer headache"
"94","headache killer"
"95","fuck fuck"
"96","ache tooth"
"97","pig guinea"
"98","fuck fuck"
"99","bad idea"
"100","sad super"
"101","pain killers"
"102","bored soo"
"103","hurts ar"
"104","lose weight"
"105","bad soo"
"106","miss gunna"
"107","fail gonna"
"108","terrible headache"
"109","bad weather"
"110","headache terrible"
"111","headache huge"
"112","stiff neck"
"113","broken heart"
"114","suck does"
"115","damn god"
"116","broken heart"
"117","losing followers"
"118","bad luck"
"119","bored sooo"
"120","crash plane"
"121","fail Epic"
"122","poison ivy"
"123","bad soooo"
"124","bug bite"
"125","trouble Having"
"126","bad To"
"127","poor puppy"
"128","burnt sun"
"129","warped tour"
"130","break lunch"
"131","sucks weather"
"132","urgent care"
"133","loser Another"
"134","hurts foot"
"135","poor girl"
"136","sick Still"
"137","miss i"
"138","sucks ass"
"139","miss i"
"140","hurts heart"
"141","sad soooo"
"142","crap holy"
"143","tired Sooo"
"144","cold outside"
"145","wrong Whats"
"146","prison break"
"147","break prison"
"148","bleed nose"
"149","sorry hun"
"150","freezing keeps"
"151","suicide co"
"152","junk food"
"153","trouble sleeping"
"154","tired sooooo"
"155","hate "
